level_0,Store_ID,Dept,Weekly_Sales,IsHoliday,CPI,Unemployment,Month
0,1,1,24924.5,0,211.0963582,8.106,2.0
1,1,26,11737.12,0,211.0963582,8.106,2.0
2,1,17,13223.76,0,211.0963582,8.106,2.0
5,1,79,46729.77,0,211.0963582,7.647960136047617,2.0
6,1,55,21249.31,0,211.0963582,7.647960136047617,2.0
7,1,5,32229.38,0,211.0963582,7.647960136047617,2.0
9,1,7,24272.506712253282,0,211.0963582,7.647960136047617,2.0
10,1,83,24272.506712253282,0,211.0963582,8.106,2.0
11,1,9,24272.506712253282,0,211.0963582,8.106,2.0
12,1,87,24272.506712253282,0,211.0963582,8.106,2.0
13,1,34,24272.506712253282,0,211.0963582,8.106,2.0
16,1,74,12251.94,0,211.0963582,8.106,
17,1,38,115564.35,0,211.0963582,8.106,
18,1,93,64494.87,0,211.0963582,8.106,
19,1,23,24146.49,0,211.0963582,8.106,
20,1,16,10217.55,0,211.0963582,8.106,
21,1,95,106690.06,0,211.0963582,8.106,2.0
22,1,2,50605.27,0,211.0963582,8.106,2.0
25,1,4,39954.04,0,211.0963582,8.106,2.0
26,1,80,15694.17,0,211.0963582,8.106,2.0
31,1,8,40129.01,0,211.0963582,8.106,2.0
34,1,46,20837.77,0,211.0963582,8.106,2.0
35,1,90,76419.47,0,211.0963582,8.106,2.0
38,1,14,19466.91,0,211.0963582,8.106,2.0
39,1,94,56655.39,0,211.0963582,8.106,2.0
40,1,97,32153.04,0,211.0963582,8.106,2.0
42,1,49,11501.46,0,211.0963582,8.106,2.0
44,1,91,62424.14,0,211.0963582,8.106,2.0
45,1,3,13740.12,0,211.0963582,8.106,2.0
47,1,32,11875.84,0,211.0963582,8.106,2.0
48,1,81,30052.75,0,211.0963582,8.106,2.0
53,1,22,13623.98,0,211.0963582,8.106,2.0
57,1,82,19484.03,0,211.0963582,8.106,2.0
58,1,13,41969.29,0,211.0963582,8.106,2.0
59,1,40,66780.63,0,211.0963582,8.106,2.0
60,1,25,11609.5,0,211.0963582,8.106,2.0
61,1,10,30721.5,0,211.0963582,8.106,2.0
67,1,72,98499.12,0,211.0963582,8.106,2.0
68,1,92,139884.94,0,211.0963582,8.106,2.0
70,1,11,24213.18,0,211.0963582,8.106,2.0
72,1,98,10891.37,0,211.0963582,8.106,2.0
73,1,3,10887.84,1,211.2421698,8.106,2.0
74,1,79,36080.86,1,211.2421698,8.106,2.0
75,1,46,18826.47,1,211.2421698,8.106,2.0
76,1,13,36476.4,1,211.2421698,8.106,
77,1,17,13403.66,1,211.2421698,8.106,
78,1,23,22812.41,1,211.2421698,8.106,
