"level_0","index","Store_ID","Date","Dept","Weekly_Sales"
"0","0","1","2010-02-05T00:00:00.000","1","24924.5"
"1","1","1","2010-02-05T00:00:00.000","26","11737.12"
"2","2","1","2010-02-05T00:00:00.000","17","13223.76"
"3","3","1","2010-02-05T00:00:00.000","45","37.44"
"4","4","1","2010-02-05T00:00:00.000","28","1085.29"
"5","5","1","2010-02-05T00:00:00.000","79","46729.77"
"6","6","1","2010-02-05T00:00:00.000","55","21249.31"
"7","7","1","2010-02-05T00:00:00.000","5","32229.38"
"8","8","1","2010-02-05T00:00:00.000","58","7659.97"
"9","9","1","2010-02-05T00:00:00.000","7",""
"10","10","1","2010-02-05T00:00:00.000","83",""
"11","11","1","2010-02-05T00:00:00.000","9",""
"12","12","1","2010-02-05T00:00:00.000","87",""
"13","13","1","2010-02-05T00:00:00.000","34",""
"14","14","1","2010-02-05T00:00:00.000","19","1947.05"
"15","15","1","2010-02-05T00:00:00.000","52","3508.04"
"16","16","1","","74","12251.94"
"17","17","1","","38","115564.35"
"18","18","1","","93","64494.87"
"19","19","1","","23","24146.49"
"20","20","1","","16","10217.55"
"21","21","1","2010-02-05T00:00:00.000","95","106690.06"
"22","22","1","2010-02-05T00:00:00.000","2","50605.27"
"23","23","1","2010-02-05T00:00:00.000","27","2293"
"24","24","1","2010-02-05T00:00:00.000","51","1.16"
"25","25","1","2010-02-05T00:00:00.000","4","39954.04"
"26","26","1","2010-02-05T00:00:00.000","80","15694.17"
"27","27","1","2010-02-05T00:00:00.000","29","7024.95"
"28","28","1","2010-02-05T00:00:00.000","56","2567.36"
"29","29","1","2010-02-05T00:00:00.000","31","3455.92"
"30","30","1","2010-02-05T00:00:00.000","33","8589.77"
"31","31","1","2010-02-05T00:00:00.000","8","40129.01"
"32","32","1","2010-02-05T00:00:00.000","85","3825.78"
"33","33","1","2010-02-05T00:00:00.000","67","8414.14"
"34","34","1","2010-02-05T00:00:00.000","46","20837.77"
"35","35","1","2010-02-05T00:00:00.000","90","76419.47"
"36","36","1","2010-02-05T00:00:00.000","12","8449.54"
"37","37","1","2010-02-05T00:00:00.000","54","439"
"38","38","1","2010-02-05T00:00:00.000","14","19466.91"
"39","39","1","2010-02-05T00:00:00.000","94","56655.39"
"40","40","1","2010-02-05T00:00:00.000","97","32153.04"
"41","41","1","2010-02-05T00:00:00.000","42","8366.71"
"42","42","1","2010-02-05T00:00:00.000","49","11501.46"
