,Student ID,Pre_Eng,Pre_Math,Batch,Final Score
1,GED2024002,7.800000000000001,7.6,1,7.7
2,GED2024003,7.4,7.199999999999999,1,7.3
4,GED2024006,6.6000000000000005,5.6000000000000005,1,6.1
5,GED2024007,8.4,7.199999999999999,1,7.8
6,GED2024008,5.4,6.0,1,5.7
8,GED2024010,5.0,6.800000000000001,1,5.9
10,GED2024013,6.800000000000001,6.0,1,6.4
11,GED2024017,8.8,6.4,1,7.6
14,GED2024018,8.0,6.454000000000001,1,7.23
16,GED202402_07,7.0,6.0,2,6.5
17,GED202402_08,5.4,8.0,2,6.7
18,GED202402_09,5.8,5.0,2,5.4
20,GED202402_15,8.0,9.0,2,8.5
22,GED202402_19,4.8,8.0,2,6.4
24,GED202402_25,8.0,9.0,2,8.5
27,GED202402_36,5.4,6.0,2,5.7
28,GED202402_38,6.6000000000000005,7.5,2,7.05
30,GED202402_48,5.0,10.0,2,7.5
31,GED202402_49,7.4,10.0,2,8.7
32,GED202402_58,8.0,6.5,2,7.25
33,GED202402_59,4.8,8.0,2,6.4
35,GED202402_61,8.2,9.0,2,8.6
38,GED202402_66,7.800000000000001,9.5,2,8.65
39,GED202402_67,4.6000000000000005,9.0,2,6.8
41,GED202402_73,6.6000000000000005,8.0,2,7.3
42,GED202402_78,4.6000000000000005,7.0,2,5.8
43,GED202402_81,5.0,8.0,2,6.5
44,GED202402_85,6.4,9.5,2,7.95
45,GED202402_90,5.6000000000000005,9.0,2,7.3
46,GED202402_91,7.0,8.0,2,7.5
47,GED202402_92,4.8,6.0,2,5.4
48,GED202402_93,6.0,7.0,2,6.5
49,GED202402_94,8.6,8.0,2,8.3
50,GED202402_100,8.0,8.5,2,8.25
51,GED202402_101,5.8,8.0,2,6.9
52,GED202402_102,8.4,9.0,2,8.7
53,GED202402_104,6.4,9.0,2,7.7
54,GED202402_105,3.2,3.2,2,3.2
