batch_id,production_date,raw_material_supplier,pigment_type,pigment_quantity,mixing_time,mixing_speed,product_quality_score
1,2024-06-25,1,type_a,42.82288066,22.56,High,7.165102346
2,2023-11-23,2,type_b,42.87347936,44.97,High,6.849125592
3,2024-02-18,2,type_b,33.25120551,52.62,High,5.661209285
4,2023-11-11,1,type_a,52.53281707,24.96,High,6.991735371
5,2024-04-11,2,type_c,36.20510832,25.37,High,7.09504257
6,2024-02-14,2,type_b,29.99190302,45.96,Medium,6.136381974
7,2023-08-25,2,type_a,35.94143917,32.13,High,5.735790614
8,2024-04-26,2,type_a,40.49720309,7.75,Medium,5.510766074
9,2024-07-06,2,type_a,36.01511066,,Low,4.959952382
10,2023-11-21,1,type_a,42.89316877,18.61,High,9.876712491
11,2023-11-18,2,Type_C,34.88740755,55.92,Medium,7.033354146
12,2024-02-13,1,type_b,43.23320397,58.31,Medium,7.933802329
13,2024-06-06,2,type_a,35.13244296,28.66,Low,6.10989001
14,2024-08-06,2,type_c,32.34432606,21.03,High,5.584597436
15,2024-07-23,2,type_a,44.72919228,15.75,Medium,3.839779853
16,2024-04-12,1,type_b,44.23073789,33.4,High,7.586283149
17,2023-10-20,2,Type_C,37.95397697,29.77,Medium,4.243053176
18,2024-03-31,2,Type_C,27.05656843,29.79,Low,7.011019028
19,2024-02-17,2,type_c,36.25493328,15.2,Medium,4.349698822
20,2023-08-12,2,type_c,36.41224619,36.83,Medium,4.332351825
21,2024-01-20,1,type_b,50.07446415,58.68,Medium,8.49908903
22,2024-05-01,2,type_c,35.12311695,29.25,Low,5.762492556
23,2024-06-26,2,type_c,33.68452094,57.5,High,5.060176521
24,2024-04-02,1,type_a,42.89077036,44.28,Low,6.410776925
25,2024-03-14,2,type_a,35.05020558,8.84,Low,5.285935186
26,2024-04-14,1,type_c,36.23699422,35.15,High,7.869520161
27,2023-10-02,2,type_a,37.7081611,16.32,High,5.561576583
28,2023-10-15,2,type_b,36.58626966,10.88,Low,6.329747075
29,2023-11-29,2,type_a,31.01281959,33,Low,5.244417241
30,2024-01-19,2,type_a,46.65305756,27.58,Low,6.786646755
31,2024-05-15,1,type_b,46.32933345,42.76,Low,7.655666835
32,2024-03-23,1,type_b,42.06702939,11.34,High,7.263899849
33,2024-06-19,2,type_c,36.36458093,18,Low,6.320126516
34,2024-06-10,2,type_b,38.56294502,50.98,Medium,6.280373013
35,2024-08-02,2,type_c,31.44225149,55.82,Medium,5.235171234
36,2023-09-21,2,type_a,27.27940925,52.5,Medium,7.766270105
37,2024-07-19,2,type_c,37.41471614,26.39,Low,5.5836957
38,2023-09-20,2,type_a,28.10752095,21.99,High,5.409934616
39,2024-04-19,1,type_b,48.68962232,53.22,High,7.840697968
40,2023-10-13,1,type_c,51.68389913,38.97,Low,6.553314545
41,2024-08-06,1,type_c,44.5797105,23.88,Low,8.297594323
42,2023-08-13,1,type_b,45.69800387,52.07,Low,8.202486153
43,2024-02-28,1,type_a,39.6930836,20.89,Medium,7.810047949
44,2024-05-01,2,type_a,30.87387419,18.79,Low,5.298783108
45,2023-09-01,1,type_a,46.69069955,28.03,Low,8.475429538
46,2024-01-15,2,type_b,34.43247387,44.31,High,6.333900097
47,2023-11-21,2,type_c,31.94261895,9.59,Low,5.75652917
48,2024-01-09,2,type_a,41.93186181,61.29,Medium,5.353378467
49,2024-06-26,2,Type_C,25.04272535,14.45,Low,5.394241823
50,2024-07-16,2,type_b,36.22364451,51.87,High,5.702375474
51,2023-09-11,2,type_b,35.64956469,34.2,High,6.131962669
52,2024-05-21,2,type_a,32.73175708,47.53,Medium,5.813267976
53,2024-04-04,1,type_b,46.1006044,50.54,High,8.406337885
54,2023-12-17,2,type_b,31.61380369,43.53,Medium,5.179224095
55,2023-10-04,1,type_a,50.79664984,46.1,Low,8.184216181
56,2024-07-26,1,type_c,53.28309073,21.14,High,9.181874626
57,2024-03-07,2,type_c,32.16211315,46.27,Medium,6.94794951
58,2024-04-11,2,type_b,34.54387407,42.42,High,7.474327894
59,2024-01-01,1,type_c,35.19071009,28.31,High,8.813745993
60,2024-04-10,1,type_a,38.45927643,45.25,-,8.921810973
61,2024-02-22,1,type_c,40.89443354,39.51,Medium,6.558471668
62,2023-11-23,1,type_c,40.45916442,19.24,Low,7.327039367
63,2023-09-21,2,type_b,29.12053608,43.71,Low,7.179450636
64,2023-11-24,2,type_a,36.52604312,51.51,High,6.654900907
65,2023-10-24,1,type_b,44.89930638,46.82,High,8.348610445
66,2024-07-28,2,Type_C,39.59743579,25.33,High,6.532436698
67,2024-06-25,2,type_b,31.09896716,41.83,Low,7.900361724
68,2023-11-29,2,type_c,43.55384851,20.34,Medium,6.761050959
69,2024-07-11,1,type_b,46.27849912,45.05,-,7.769374265
70,2023-09-10,2,type_c,34.53299472,56.75,Medium,5.221500297
71,2024-02-13,2,type_b,39.08777181,51.45,Medium,5.35998984
72,2024-06-01,1,type_c,43.93791737,34.01,Low,6.821359879
73,2023-10-25,2,type_b,30.64271775,34.86,Medium,6.581915983
74,2024-07-14,1,type_c,42.3419533,44.12,High,7.72395132
75,2024-01-25,2,type_b,27.59998889,10.12,Medium,6.011799209
76,2024-01-02,2,type_a,31.39760368,54.78,High,5.384078043
77,2024-05-08,2,type_c,30.08122899,24.56,Medium,6.923780165
78,2024-03-14,2,type_a,39.55721761,32.97,Low,6.680829198
79,2024-04-25,2,type_a,41.25754946,48.68,Low,6.43183262
80,2023-08-10,2,type_b,32.58536171,22.16,High,5.111475869
81,2024-08-01,2,type_a,35.87372689,30,Low,6.165824512
82,2024-02-14,2,type_c,30.32100476,24.92,High,6.155237383
83,2024-06-25,1,type_b,48.48254222,15.62,High,6.730372083
84,2024-05-18,2,type_c,33.69067773,46.76,Low,5.363478475
85,2023-11-26,1,type_c,52.82662619,46.96,Medium,7.52240118
86,2023-11-06,2,type_c,45.52025671,30.74,High,6.290255875
87,2024-03-15,2,type_c,30.80598973,12.42,Low,8.624293963
88,2024-03-31,1,type_c,35.15035518,39.82,Low,8.631416728
89,2023-09-13,2,Type_C,34.94548966,30.88,High,6.137518873
90,2023-11-12,2,type_c,43.90466149,53.28,Low,6.446236163
91,2023-09-20,1,type_c,49.65526348,26.9,Medium,7.131748859
92,2023-11-01,1,type_a,44.74921829,43.15,Medium,6.760448229
93,2024-03-05,2,type_b,37.4624001,56.11,Medium,5.870502516
94,2023-10-01,2,type_c,39.24421523,51.8,Medium,6.536647205
95,2024-03-19,1,Type_C,41.84548493,21.33,Medium,8.126027959
96,2023-09-18,1,type_a,54.41402674,62.1,Low,7.786915273
97,2023-12-26,2,type_c,30.12089298,9.56,Low,7.631048084
98,2024-01-26,2,type_c,34.42829758,40.85,Low,5.483726904
99,2024-03-28,1,type_b,38.76940357,39.94,High,9.932586935
100,2023-12-06,2,type_a,27.16685389,14.99,High,4.081800861
101,2023-12-27,1,type_c,43.61096474,8.66,Low,8.127385798
102,2024-02-19,1,type_a,46.32333669,48.49,Low,8.147729861
103,2024-05-05,2,type_a,31.89183188,15.93,Medium,3.798239665
104,2024-06-02,1,type_a,38.31749407,44.63,High,9.5728968
105,2023-09-03,2,Type_C,30.05478043,10.17,Low,7.423218825
106,2024-02-10,2,type_c,36.77493742,11.32,Low,7.046547717
107,2024-07-18,2,type_a,32.83416578,38.48,High,6.329440268
108,2024-05-17,2,type_c,29.78108629,41.29,Medium,5.9399362
109,2024-04-12,2,type_a,37.29535203,40.64,High,6.658861909
110,2024-05-22,2,type_a,36.59067986,49.99,Low,6.697759803
111,2024-07-19,1,type_c,51.87089726,46.6,High,9.560004775
112,2024-01-04,1,type_b,38.03485624,22.52,Low,6.808083566
113,2024-06-15,2,type_b,27.66766144,35.2,High,5.445985066
114,2024-01-20,1,type_b,40.2803857,16.23,Low,6.700914294
115,2023-12-16,2,type_b,32.00330717,32.94,Medium,5.153902639
116,2023-12-05,2,type_a,42.50714729,15.98,High,5.715952503
117,2024-06-05,2,type_a,33.55647781,39.3,Medium,3.444600207
118,2024-03-20,1,type_b,48.43305258,32.9,High,6.795950347
119,2023-08-24,2,type_b,26.75300172,22.15,High,7.809305777
120,2023-09-23,1,type_b,38.8420007,59.47,Medium,8.757027904
121,2024-01-07,2,type_c,28.72324228,13.23,High,5.732231846
122,2023-12-15,2,type_c,42.23012058,45.66,Medium,6.223537734
123,2023-09-26,1,type_c,40.48826371,29.39,Medium,8.573171978
124,2024-05-16,2,type_c,31.67903573,35.85,High,6.549564076
125,2024-04-25,2,type_b,33.76415851,28.59,Medium,5.681502534
126,2024-04-21,2,type_a,36.9122582,43.32,Medium,4.278134533
127,2024-05-28,1,type_b,40.17437653,22.7,High,9.097186802
128,2024-04-24,1,type_b,41.94557136,56.41,High,7.195183185
129,2024-02-13,2,type_b,34.35323695,42.95,Medium,6.60214951
130,2024-02-02,2,type_b,28.76192225,23.09,Medium,5.143011747
131,2024-06-25,2,type_c,34.63679998,39.89,High,5.073838225
132,2024-07-23,1,type_b,40.72081489,40.24,Medium,8.808821292
133,2024-02-10,2,type_b,37.95283331,36.8,Low,6.650582844
134,2024-07-04,2,type_b,26.18828001,39.61,High,5.760238625
135,2024-06-22,2,type_b,28.69521457,28.9,High,5.017225674
136,2024-04-11,2,type_c,35.35260185,23.74,High,6.020554522
137,2024-07-18,2,type_a,33.25745111,35.94,Low,7.025233713
138,2023-09-06,2,type_b,34.41973759,30.04,-,5.910391362
139,2023-10-06,2,type_b,31.60206299,9.51,Low,6.21908277
140,2023-11-04,2,type_b,36.75131127,58.64,High,5.839821102
141,2024-06-12,2,type_a,33.14023134,24.87,High,7.886407961
142,2023-12-24,2,type_a,36.99561109,23.04,High,7.401295267
143,2023-08-31,1,type_c,34.72134108,28.26,Medium,8.596422951
144,2024-06-20,2,type_a,32.09902336,50.16,High,7.754544453
145,2023-10-26,1,type_c,46.73406182,17.51,High,7.582713397
146,2024-06-24,1,type_b,53.36666914,45.33,High,7.64243174
147,2024-03-17,2,type_b,36.73223972,45.4,Low,6.677881794
148,2023-10-13,2,type_c,33.00058414,21.38,Medium,7.044324706
149,2023-11-07,1,type_a,46.24967725,32.11,Medium,8.842179105
150,2024-05-14,1,type_a,37.75578763,31.67,Medium,6.703876215
151,2024-06-07,2,type_a,33.28686504,49.61,High,6.541626785
152,2023-11-04,2,type_c,30.10016577,53.86,High,6.25147789
153,2024-06-15,2,type_a,45.20144774,14.88,Low,6.418539282
154,2023-12-30,1,type_c,35.14102442,18.33,Medium,7.611694179
155,2024-01-28,2,type_c,37.96066313,56.61,Medium,4.889822966
156,2024-04-24,2,type_a,42.89752033,56,Low,5.315938044
157,2024-01-30,1,type_a,38.96137376,51.24,Medium,8.364873231
158,2023-10-30,2,type_b,39.7966218,51.35,Medium,6.349554315
159,2024-01-05,2,type_c,32.26149654,12.09,Low,7.314911136
160,2024-03-12,2,type_b,40.79821336,53.18,Low,7.302912707
161,2024-01-30,2,type_a,35.93279928,49.54,High,5.817535722
162,2023-12-14,2,type_c,38.42423314,36.81,Medium,5.574078541
163,2024-04-20,2,type_c,30.19958948,30.02,Medium,5.723005937
164,2024-01-08,2,type_b,31.38316957,50.85,High,6.17772143
165,2023-10-24,2,type_a,38.35288825,55.59,Medium,5.92186182
166,2024-05-01,1,type_a,49.35332908,28.53,Low,8.246380417
167,2024-05-16,2,type_b,36.21636813,36.92,Medium,5.052432056
168,2024-01-04,2,type_a,30.47928165,14.64,Medium,5.948242621
169,2024-07-09,2,type_b,27.48674722,13.95,Low,7.116000686
170,2024-02-01,2,type_c,39.86005744,17.24,High,5.819496521
171,2024-01-02,2,type_b,29.73652239,10.22,High,5.128639208
172,2024-05-20,2,type_a,40.51991776,39.42,High,7.044793513
173,2024-02-02,2,type_b,42.16408765,42.16,Medium,5.472320928
174,2024-04-06,1,type_b,40.38714935,35.97,High,8.03080444
175,2024-05-05,1,type_b,45.40655607,31.46,High,8.69986359
176,2024-06-17,2,type_c,43.26583924,51.84,Medium,6.240439163
177,2024-02-21,2,type_b,27.52167914,30.72,Low,6.183368805
178,2023-10-06,2,type_a,34.94748203,21.72,High,5.127919394
179,2023-12-18,2,type_a,42.84537383,51.18,Medium,5.938200582
180,2024-02-12,1,type_b,57.84765609,46.2,Low,8.913272762
181,2024-01-17,2,type_a,29.29270756,41.96,Low,7.093646097
182,2024-02-11,1,type_a,44.21959894,19.78,Medium,7.752713925
183,2024-08-07,2,type_c,35.855981,51.07,Low,5.536376834
184,2023-11-15,2,type_b,37.69843972,29.94,High,5.103797299
185,2024-07-19,2,type_c,34.77504295,40.89,Low,5.259155455
186,2023-12-14,2,type_a,47.48650543,35.31,Low,5.542090459
