client_id,age,job,marital,education,credit_default,mortgage
0,56,housemaid,married,basic_4y,False,False
1,57,services,married,high_school,False,False
2,37,services,married,high_school,False,True
3,40,admin_,married,basic_6y,False,False
4,56,services,married,high_school,False,False
5,45,services,married,basic_9y,False,False
6,59,admin_,married,professional_course,False,False
7,41,blue-collar,married,,False,False
8,24,technician,single,professional_course,False,True
9,25,services,single,high_school,False,True
10,41,blue-collar,married,,False,False
11,25,services,single,high_school,False,True
12,29,blue-collar,single,high_school,False,False
13,57,housemaid,divorced,basic_4y,False,True
14,35,blue-collar,married,basic_6y,False,True
15,54,retired,married,basic_9y,False,True
16,35,blue-collar,married,basic_6y,False,True
17,46,blue-collar,married,basic_6y,False,True
18,50,blue-collar,married,basic_9y,False,True
19,39,management,single,basic_9y,False,False
20,30,unemployed,married,high_school,False,False
21,55,blue-collar,married,basic_4y,False,True
22,55,retired,single,high_school,False,True
23,41,technician,single,high_school,False,True
24,37,admin_,married,high_school,False,True
25,35,technician,married,university_degree,False,False
26,59,technician,married,,False,True
27,39,self-employed,married,basic_9y,False,False
28,54,technician,single,university_degree,False,False
29,55,unknown,married,university_degree,False,False
30,46,admin_,married,,False,False
31,59,technician,married,,False,True
32,49,blue-collar,married,,False,False
33,54,management,married,basic_4y,False,True
34,54,blue-collar,divorced,basic_4y,False,False
35,55,unknown,married,basic_4y,False,True
36,34,services,married,high_school,False,False
37,52,technician,married,basic_9y,False,True
38,41,admin_,married,university_degree,False,True
39,56,technician,married,basic_4y,False,True
40,58,management,unknown,university_degree,False,True
41,32,entrepreneur,married,high_school,False,True
42,38,admin_,single,professional_course,False,False
43,57,admin_,married,university_degree,False,False
44,44,admin_,married,university_degree,False,True
45,42,technician,single,professional_course,False,False
46,57,admin_,married,university_degree,False,True
47,40,blue-collar,married,basic_9y,False,False
48,35,admin_,married,university_degree,False,True
49,45,blue-collar,married,basic_9y,False,True
50,54,admin_,married,high_school,False,False
51,39,housemaid,married,basic_4y,False,False
52,60,admin_,married,high_school,False,False
53,53,admin_,single,professional_course,False,False
54,55,blue-collar,married,basic_4y,False,False
55,55,technician,married,professional_course,False,True
56,50,management,married,university_degree,False,False
57,45,services,married,high_school,False,True
58,55,unemployed,married,professional_course,False,True
59,25,technician,single,university_degree,False,True
60,47,entrepreneur,married,university_degree,False,False
61,51,blue-collar,married,basic_9y,False,True
62,42,blue-collar,married,basic_6y,False,True
63,42,blue-collar,married,basic_6y,False,False
64,48,admin_,married,high_school,False,False
65,37,admin_,married,university_degree,False,False
66,44,blue-collar,single,basic_9y,False,True
67,33,admin_,married,,False,True
68,56,admin_,married,basic_9y,False,True
69,44,blue-collar,single,basic_4y,False,True
70,41,management,married,basic_6y,False,False
71,44,management,divorced,university_degree,False,True
72,47,admin_,married,university_degree,False,True
73,57,unknown,married,,False,False
74,37,admin_,married,university_degree,False,True
75,41,blue-collar,divorced,basic_4y,False,True
76,55,technician,married,university_degree,False,False
77,33,services,married,high_school,False,True
78,55,management,married,,False,True
79,42,blue-collar,married,basic_9y,False,False
80,50,blue-collar,married,basic_4y,False,True
81,51,blue-collar,married,basic_4y,False,False
82,38,admin_,married,high_school,False,False
83,49,entrepreneur,married,university_degree,False,True
84,38,technician,single,university_degree,False,False
85,31,admin_,divorced,high_school,False,False
86,41,management,married,basic_6y,False,False
87,39,admin_,married,university_degree,False,True
88,49,technician,married,basic_9y,False,False
89,34,admin_,married,high_school,False,True
90,35,admin_,married,university_degree,False,True
91,57,unknown,married,,False,True
92,60,admin_,married,,False,False
93,33,unemployed,married,basic_9y,False,False
94,42,blue-collar,married,basic_6y,False,False
95,45,services,married,professional_course,False,True
96,42,management,married,university_degree,False,False
97,53,admin_,divorced,university_degree,False,False
98,37,technician,single,professional_course,False,False
99,44,blue-collar,married,basic_6y,False,False
100,54,services,married,,False,True
101,49,blue-collar,married,basic_4y,False,False
102,54,services,married,,False,False
103,52,admin_,divorced,university_degree,False,False
104,52,admin_,divorced,university_degree,False,False
105,43,services,single,high_school,False,False
106,34,housemaid,married,basic_6y,False,True
107,35,admin_,married,high_school,False,True
108,42,entrepreneur,married,,False,True
109,43,technician,married,,False,True
110,60,retired,divorced,university_degree,False,False
111,58,unemployed,married,basic_4y,False,False
112,35,services,divorced,high_school,False,True
113,55,blue-collar,married,basic_9y,False,True
114,37,management,married,university_degree,False,False
115,36,blue-collar,married,high_school,False,False
116,52,admin_,divorced,university_degree,False,False
117,57,blue-collar,divorced,,False,True
118,56,admin_,married,,False,True
119,48,blue-collar,divorced,basic_4y,False,True
120,40,blue-collar,married,high_school,False,True
121,49,blue-collar,divorced,high_school,False,False
122,41,services,married,high_school,False,False
123,45,technician,married,high_school,False,True
124,32,admin_,married,university_degree,False,True
125,42,admin_,married,university_degree,False,False
126,50,admin_,married,basic_6y,False,False
127,31,technician,divorced,professional_course,False,True
128,56,retired,married,basic_4y,False,True
129,41,technician,married,professional_course,False,True
130,37,blue-collar,married,basic_6y,False,True
131,41,technician,married,professional_course,False,False
132,35,blue-collar,married,,False,True
133,37,blue-collar,married,basic_6y,False,True
134,52,management,married,university_degree,False,False
135,39,management,divorced,university_degree,False,False
136,39,housemaid,married,basic_4y,False,False
137,56,blue-collar,married,basic_4y,False,False
138,34,services,married,high_school,False,True
139,45,blue-collar,married,basic_9y,False,True
140,43,unemployed,single,university_degree,False,True
141,56,management,married,,False,True
142,39,management,married,university_degree,False,True
143,53,blue-collar,married,basic_4y,False,True
144,38,unknown,divorced,high_school,False,True
145,42,blue-collar,married,basic_4y,False,True
146,42,blue-collar,married,basic_4y,False,False
147,35,admin_,single,high_school,False,True
148,40,admin_,married,university_degree,False,True
149,51,blue-collar,married,basic_4y,False,True
150,60,blue-collar,married,basic_9y,False,False
151,56,entrepreneur,married,,False,True
152,39,services,divorced,high_school,False,True
153,56,entrepreneur,married,,False,False
154,40,blue-collar,married,,False,True
155,36,blue-collar,married,basic_9y,False,True
156,51,blue-collar,married,,False,True
157,51,blue-collar,married,,False,False
158,43,technician,single,professional_course,False,True
159,59,services,married,high_school,False,False
160,24,management,single,university_degree,False,True
161,37,blue-collar,single,basic_9y,False,True
162,40,blue-collar,married,basic_9y,False,False
163,42,blue-collar,married,basic_9y,False,False
164,39,services,divorced,high_school,False,False
165,37,entrepreneur,married,basic_6y,False,False
